,year,K,L,duration,back_and_forth_rate,di1,di2,di3
0,1990,2,0,8.7,0.038461538461538464,9.078305712556473,20.1167817763311,
1,1990,2,2,4.578947368421052,0.038461538461538464,0.5367855067519829,0.5319218214505346,
2,1990,2,5,10.44,0.0038461538461538464,0.5000343500108755,0.5137512336503713,
3,1990,2,8,16.3125,0.0038461538461538464,0.4753083077944752,0.4857494099318201,
4,1990,2,10,18.642857142857142,0.0,0.45398061881668716,0.4531870079066741,
5,1990,3,0,7.054054054054054,0.05,1.770191197900319,3.0285461344789177,2.29133402823494
6,1990,3,2,4.578947368421052,0.04230769230769231,1.9308202916685535,2.616210675632841,1.6129300165948541
7,1990,3,5,10.44,0.0038461538461538464,2.0062693718727154,2.9900441408767833,1.8376594001435305
8,1990,3,8,16.3125,0.0,1.3400733043735324,2.509809546264261,1.8217543730142736
9,1990,3,10,18.642857142857142,0.0,3.0100291854578862,2.5923401576868748,1.2273905633125333
10,1991,2,0,52.4,0.007662835249042145,2.225684431452507,4.860121137096966,
11,1991,2,2,5.24,0.03065134099616858,0.5810956741859458,0.634403792668569,
12,1991,2,5,6.894736842105263,0.019157088122605363,0.49111048979692573,0.5731962765330963,
13,1991,2,8,18.714285714285715,0.0,0.5286783683624829,0.6019845969073381,
14,1991,2,10,18.714285714285715,0.0038314176245210726,0.6115258995932497,0.6511114690800076,
15,1991,3,0,87.33333333333333,0.0038314176245210726,8.220120406844718,4.343379965242016,2.365440405557357
16,1991,3,2,5.458333333333333,0.02681992337164751,2.3093202179334296,6.2995625035342595,4.126564128991573
17,1991,3,5,6.894736842105263,0.03065134099616858,4.609082439557859,3.6366676389325128,1.8598010905905293
18,1991,3,8,16.375,0.0,6.3999282847428125,5.401699872257088,1.7977842500327006
19,1991,3,10,16.375,0.0,2.902385628724533,5.7931843709626065,2.3207821698563174
20,1992,2,0,2.932584269662921,0.10384615384615385,5.046001656745241,9.482447847270997,
21,1992,2,2,5.117647058823529,0.03461538461538462,0.5220098440724434,0.4760976799092036,
22,1992,2,5,9.321428571428571,0.011538461538461539,0.48254720204654433,0.43632433452914676,
23,1992,2,8,11.863636363636363,0.007692307692307693,0.46089660895944173,0.44688950945768613,
24,1992,2,10,26.1,0.0,0.4238537902511578,0.4999925270752005,
25,1992,3,0,3.9545454545454546,0.10384615384615385,5.216181737964749,7.094019645480121,0.1646210571935525
26,1992,3,2,4.423728813559322,0.05,1.7686994768379176,2.948029671457639,1.8354709224051855
27,1992,3,5,8.7,0.023076923076923078,1.6886840287804568,0.06465741684795043,4.353960817184399
28,1992,3,8,13.05,0.0038461538461538464,1.5671861201326103,2.957497933252568,1.438196206407444
29,1992,3,10,18.642857142857142,0.0038461538461538464,1.7538354381693886,2.758411331114514,1.2958008511637835
30,1993,2,0,4.56140350877193,0.07722007722007722,5.908167030320879,2.7426792440769763,
31,1993,2,2,4.90566037735849,0.03474903474903475,0.5087073964195509,0.42711101933020323,
32,1993,2,5,7.222222222222222,0.011583011583011582,0.5578518292796427,0.38637417910338145,
33,1993,2,8,10.833333333333334,0.0,0.532725131098215,0.4012968613946945,
34,1993,2,10,11.818181818181818,0.003861003861003861,0.5403947113731804,0.38111064260109206,
35,1993,3,0,4.406779661016949,0.07722007722007722,0.14827701905834462,0.4240727126240876,4.695785278337909
36,1993,3,2,5.0,0.03861003861003861,1.413442139781688,0.08555703338652652,0.014303525182303798
37,1993,3,5,7.222222222222222,0.011583011583011582,1.7929781729743106,3.0337111518801265,1.739157336635978
38,1993,3,8,10.833333333333334,0.003861003861003861,1.7578249892258033,4.1759765611159,1.2996369526905254
39,1993,3,10,10.833333333333334,0.011583011583011582,1.8513588475221008,2.7106785385203174,1.6209144687526469
40,1994,2,0,23.636363636363637,0.015444015444015444,2.7792334314039557,2.262200911311107,
41,1994,2,2,4.406779661016949,0.04633204633204633,0.5093016486105725,0.5166699086643318,
42,1994,2,5,8.125,0.015444015444015444,0.48411980326896115,0.4931529762052733,
43,1994,2,8,11.304347826086957,0.003861003861003861,0.537922419605789,0.46105138556108033,
44,1994,2,10,12.380952380952381,0.003861003861003861,0.8699349772528395,0.44235694208973864,
45,1994,3,0,6.842105263157895,0.0694980694980695,2.0445949817854094,5.681530208457006,5.29473188076916
46,1994,3,2,4.262295081967213,0.05019305019305019,1.9401414543905975,2.0917834606350567,1.9834971421824876
47,1994,3,5,6.5,0.019305019305019305,2.542260699232928,4.366035498133626,1.6771453562569845
48,1994,3,8,8.96551724137931,0.007722007722007722,2.046184201150392,3.31479691046466,1.7988279361060238
49,1994,3,10,9.285714285714286,0.011583011583011582,1.987514642569048,4.936066117519349,2.0531793848104356
50,1995,2,0,4.678571428571429,0.08812260536398467,4.265727089807948,2.1615895120781823,
51,1995,2,2,4.943396226415095,0.038314176245210725,0.5223923930068928,0.42381359054488144,
52,1995,2,5,9.703703703703704,0.0038314176245210726,0.5292907628791859,0.44191129833368437,
53,1995,2,8,11.391304347826088,0.007662835249042145,0.484327371213644,0.4520704508862834,
54,1995,2,10,12.476190476190476,0.0038314176245210726,0.46105431280123965,0.4442274118644678,
55,1995,3,0,7.9393939393939394,0.02681992337164751,4.5239899064137905,8.490249273907432,7.840009293644163
56,1995,3,2,4.943396226415095,0.038314176245210725,1.4687202292502834,3.2260714896289424,1.8513380972111437
57,1995,3,5,10.48,0.0038314176245210726,2.4860744318372925,3.2391540681031366,1.5677381768265848
58,1995,3,8,11.391304347826088,0.0038314176245210726,1.1075934483481558,2.462607409314444,1.2651558910011307
